objectid,filename,title,date,description,rating,runtime,topactors,director,genre,subject,format,language
8mile_2002,8mile_2002.jpg,8 Mile,2002,"A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",R,1h 50min,Eminem; Brittany Murphy; Kim Basinger,Curtis Hanson,Drama; Music,DVD,image/jpeg,eng
astarisborn_2018,astarisborn_2018.jpg,A Star Is Born ,2018,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,R,2h 16min,Lady Gaga; Bradley Cooper; Sam Elliot,Bradley Cooper,Drama; Music; Romance,Blu-ray,image/jpeg,eng
americangangster_2007,americangangster_2007.jpg,American Gangster,2007,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",R,2h 37min,Denzel Washington; Russell Crowe; Chiwetel Ejiofor,Ridley Scott,Biography; Drama; Crime,DVD,image/jpeg,eng
atomicblonde_2017,atomicblonde_2017.jpg,Atomic Blonde,2017,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,R,1h 55min,Charlize Theron; James McAvoy; John Goodman,David Leitch,Action; Thriller,Blu-ray,image/jpeg,eng
beforesunrise_1995,beforesunrise_1995.jpg,Before Sunrise,1995,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",R,1h 41m,Ethan Hawke; Julie Delpy; Andrea Eckert,Richard Linklater,Drama; Romance,DVD,image/jpeg,eng
beforesunset_2004,beforesunset_2004.jpg,Before Sunset,2004,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",R,1h 20m,Ethan Hawke; Julie Delpy; Vernon Bobtcheff,Richard Linklater,Drama; Romance,DVD,image/jpeg,eng
beforemidnight_2013,beforemidnight_2013.jpg,Before Midnight,2013,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,R,1h 49m,Ethan Hawke; Julie Delpy; Seamus Davey-Fitzpatrick,Richard Linklater,Drama; Romance,Blu-ray,image/jpeg,eng
bladerunner2_2017,bladerunner2_2017.jpg,Blade Runner 2045,2017,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",R,2h 44min,Harrison Ford; Ryan Gosling; Ana De Armas,Denis Villeneuve,Action; Drama; Mystery; Sci-Fi; Thriller,Blu-ray,image/jpeg,eng
bourne1_2002,bourne1_2002.jpg,The Bourne Identity,2002,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",PG-13,1h 59m,Matt Damon; Franka Potente; Chris Cooper,Doug Liman,Action; Mystery; Thriller,Blu-ray,image/jpeg,eng
bourne2_2004,bourne2_2004.jpg,The Bourne Supremacy,2004,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",PG-13,1h 48m,Matt Damon; Franka Potente; Brian Cox,Paul Greengrass,Action; Mystery; Thriller,Blu-ray,image/jpeg,eng
bourne3_2007,bourne3_2007.jpg,The Bourne Ultimatum,2007,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,PG-13,1h 55m,Matt Damon; Julia Stiles; David Stranthairn,Paul Greengrass,Action; Mystery; Thriller,Blu-ray,image/jpeg,eng
catchmeifyoucan_2002,catchmeifyoucan_2002.jpg,Catch Me If You Can ,2002,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",PG13,2h 21min,Leonardo Dicaprio; Tom Hanks; Christopher Walken,Stephen Spielberg,Biography; Crime; Drama,DVD,image/jpeg,eng
collateral_2004,collateral_2004.jpg,Collateral,2004,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,R,2h,Tom Cruise; Jamie Foxx; Jada Pinkett Smith,Michael Mann,Action; Crime; Drama; Thriller,DVD,image/jpeg,eng
django_2012,django_2012.jpg,Django Unchained,2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",R,2h 45min,Jamie Foxx; Christoph Waltz; Leonardo Dicaprio,Quentin Tarantino,Drama; Western,Blu-ray,image/jpeg,eng
dragonball_2018,dragonball_2018.jpg,Dragon Ball Super: Broly,2018,"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.",PG,1h 40min,Sean Schemmel; Monica Rial; Christopher Sabat,Tatsuya Nagamine,Animation; Action; Adventure,Blu-ray,image/jpeg,eng
drive_2011,drive_2011.jpg,Drive,2011,"A mysterious Hollywood action film stuntman who moonlights as a getaway driver, gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.",R,1h 40min,Ryan Gosling; Carey Mulligan; Bryan Cranston,Nicholas Winding Refn,Action; Drama,Blu-ray,image/jpeg,eng
fightclub_1999,fightclub_1999.jpg,Fight Club,1999,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R,2h 19min,Brad Pitt; Edward Norton; Helena Bonham Carter,David Fincher,Drama,DVD,image/jpeg,eng
funnypeople_2009,funnypeople_2009.jpg,Funny People,2009,"When seasoned comedian George Simmons learns of his terminal, inoperable health condition, his desire to form a genuine friendship causes him to take a relatively green performer under his wing as his opening act.",R,2h 26min,Adam Sandler; Seth Rogen; Leslie Mann,Judd Apatow,Comedy; Drama ,DVD,image/jpeg,eng
gardenstate_2004,gardenstate_2004.jpg,Garden State,2004,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,R,1h 42min,Zach Braff; Peter Sarsgaard; Natalie Portman,Zach Braff,Comedy; Drama; Romance,DVD,image/jpeg,eng
gethimtothegreek_2010,gethimtothegreek_2010.jpg,Get Him To The Greek,2010,A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,R,1h 49min,Jonah Hill; Russell Band; Elizabeth Moss,Nicholas Stoller,Comedy; Music,Blu-ray,image/jpeg,eng
gladiator_2000,gladiator_2000.jpg,Gladiator,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,R,2h 35min,Russell Crowe; Joaquin Phoenix; Connie Nielson,Ridley Scott,Action; Adventure; Drama,Blu-ray,image/jpeg,eng
goodfellas_1990,goodfellas_1990.jpg,Goodfellas,1990,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",R,2h 25min,Robert De Niro; Ray Liotta; Joe Pesci,Martin Scorsese,Biography; Crime; Drama,DVD,image/jpeg,eng
grease_1978,grease_1978.jpg,Grease,1978,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",PG,1h 50min,John Travolta; Olivia Newton John; Stockard Channing,Randal Kleiser,Comedy; Musical; Romance,Blu-ray,image/jpeg,eng
inbruges_2008,inbruges_2008.jpg,In Bruges,2008,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",R,1h 47min,Colin Farrell; Brendan Gleeson; Ciaran Hinds,Martin Mcdonagh,Comedy; Crime; Drama; Thriller,Blu-ray,image/jpeg,eng
killingthemsoftly_2012,killingthemsoftly_2012.jpg,Killing Them Softly,2012,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",R,1h 37min,Brad Pitt; Ray Liotta; Richard Jenkins;,Andrew Dominik,Crime; Drama; Thriller,Blu-ray,image/jpeg,eng
knockedup_2007,knockedup_2007.jpg,Knocked Up,2007,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",R,2h 9min,Seth Rogan; Katherine Heigl; Paul Rudd,Judd Apatow,Comedy; Romance,Blu-ray,image/jpeg,eng
lifeisbeautiful_1997,lifeisbeautiful_1997.jpg,Life Is Beautiful,1997,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",PG13,1h 56min,Roberto Benigni; Nicoletta Braschi; Giorgio Cantarini,Roberto Benigni,Comedy; Drama; Romance; War,DVD,image/jpeg,ita
